nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
1 0 676 117.689155584 676 676 891584.512
10 0 6685 1163.83432704 6685 6685 8816926.72
20 6 13447 2341.07407565 13441 13447 17735409.664
30 10 20102 3499.68551117 20092 20102 26512769.024
40 36 26849 4674.31381402 26813 26849 35411468.288
50 76 33678 5863.21802035 33602 33678 44418318.336
60 130 40363 7027.05234739 40233 40363 53235245.056
70 148 46965 8176.43667456 46817 46965 61942702.08
80 182 53820 9369.86738688 53638 53820 70983843.84
90 258 60375 10511.069184 60117 60375 79629312.0
100 294 67302 11717.034836 67008 67302 88765415.424
110 436 73757 12840.8269947 73321 73757 97278992.384
120 433 80093 13943.9016837 79660 80093 105635618.816
130 464 87372 15211.1492628 86908 87372 115235979.264
140 510 94328 16422.16371 93818 94328 124410331.136
150 688 100945 17574.1594829 100257 100945 133137571.84
160 847 107022 18632.1432084 106175 107022 141152600.064
170 878 114487 19931.772715 113609 114487 150998278.144
180 1022 119916 20876.9419837 118894 119916 158158651.392
190 1151 127140 22134.6142618 125985 127136 167686471.68
200 1139 134047 23337.097986 132908 134047 176796196.864
210 1482 140524 24464.7202652 139042 140524 185338789.888
220 1320 148191 25799.5172413 146871 148191 195450888.192
230 1649 154216 26848.4479549 152567 154216 203397332.992
240 1907 160223 27894.2449336 158316 160223 211320037.376
250 1923 167460 29154.1804646 165537 167460 220865003.52
260 2178 174479 30376.1629839 172299 174477 230122446.848
270 2173 181057 31521.3689979 178884 181057 238798249.984
280 2317 187295 32607.3822413 184977 187294 247025623.04
290 2543 194493 33860.5280133 191950 194493 256519151.616
300 2629 201605 35098.7014963 198976 201605 265899253.76
310 2868 208337 36270.7183534 205469 208337 274778169.344
320 3117 214383 37323.3050911 211265 214382 282752311.296
330 3373 221593 38578.5400197 218220 221593 292261666.816
340 3283 227935 39682.659287 224651 227934 300626206.72
350 3902 234999 40912.4761436 231097 234999 309943001.088
360 3975 241423 42030.8713144 237447 241422 318415691.776
370 4343 248552 43272.004436 244209 248552 327818215.424
380 4183 254957 44387.0917755 250774 254957 336265846.784
390 4517 261568 45538.0429701 257051 261568 344985174.016
400 4702 268129 46680.2893455 263427 268129 353638555.648
410 4897 275118 47897.0489733 270220 275117 362856431.616
420 5093 282177 49125.995348 277083 282176 372166631.424
430 5552 288064 50150.9007606 282512 288064 379931066.368
440 5563 295051 51367.3121956 289487 295050 389146304.512
450 6308 301535 52496.1531494 295225 301533 397698129.92
460 6209 309172 53825.727234 302963 309172 407770660.864
470 6669 315496 54926.7127665 308826 315495 416111460.352
480 6568 321423 55958.5820344 314854 321422 423928651.776
490 7692 329205 57313.4000947 321513 329205 434192424.96
500 7351 334490 58233.4994842 327138 334489 441162874.88
1 0 665 115.77409536 665 665 877076.48
10 4 6759 1176.71745946 6755 6759 8914526.208
20 14 13477 2346.29696717 13463 13477 17774977.024
30 10 20269 3528.7596073 20259 20269 26733027.328
40 34 26640 4637.92766976 26606 26640 35135815.68
50 118 33410 5816.56018944 33292 33410 44064849.92
60 84 40257 7008.59813069 40173 40257 53095440.384
70 150 46912 8167.20956621 46762 46912 61872799.744
80 210 53499 9313.98244762 53289 53499 70560473.088
90 226 60311 10499.9270154 60085 60311 79544901.632
100 282 67043 11671.9438725 66760 67042 88423817.216
110 334 73935 12871.816151 73601 73935 97513758.72
120 388 80110 13946.8613222 79722 80110 105658040.32
130 446 86549 15067.8679388 86103 86549 114150514.688
140 587 93885 16345.0390118 93298 93885 123826053.12
150 617 100258 17454.5552671 99641 100258 132231479.296
160 681 107627 18737.4715208 106946 107627 141950541.824
170 886 114423 19920.6305464 113537 114423 150913867.776
180 989 120681 21010.1257175 119692 120681 159167619.072
190 1050 127165 22138.9666714 126115 127165 167719444.48
200 1126 133680 23273.2046131 132554 133680 176312156.16
210 1226 140606 24478.9961687 139380 140606 185446940.672
220 1357 147219 25630.2955561 145862 147219 194168905.728
230 1648 154708 26934.1033759 153060 154708 204046237.696
240 1905 161747 28159.5678228 159842 161747 213330059.264
250 1873 167210 29110.6563686 165337 167210 220535275.52
260 1986 174680 30411.1563571 172694 174680 230387548.16
270 2024 180941 31501.1738173 178917 180941 238645256.192
280 2190 188471 32812.1195889 186281 188471 248576663.552
290 2852 194658 33889.2539167 191804 194656 256736772.096
300 2832 201518 35083.5551109 198685 201517 265784508.416
310 2839 208000 36212.047872 205161 208000 274333696.0
320 3188 214833 37401.6484639 211645 214833 283345821.696
330 2933 221525 38566.7014656 218591 221524 292171980.8
340 3323 226867 39496.7243489 223544 226867 299217608.704
350 3465 234767 40872.0857825 231302 234767 309637013.504
360 3669 241429 42031.9158927 237759 241428 318423605.248
370 4090 248403 43246.0640748 244312 248402 327621697.536
380 4071 255540 44488.5899674 251467 255538 337034772.48
390 4652 261598 45543.2658616 256946 261598 345024741.376
