nrNodes SF CR nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
70 7 1 2 46979 350.840675328 32910 32912 2657883.904
70 8 1 8 47367 643.451516928 32285 32293 4874632.704
70 9 1 10 46780 1144.49178624 37005 37015 8670392.32
70 10 1 20 47237 2311.34495539 37991 38011 17510189.056
70 11 1 54 47107 4609.96789862 39910 39964 34923999.232
70 12 1 74 46871 8160.07161446 37586 37660 61818724.352
70 7 2 4 47406 398.883944448 32455 32459 3021848.064
70 8 2 4 46880 712.876032 31629 31633 5400576.0
70 9 2 40 47309 1285.32724531 37912 37952 9737327.616
70 10 2 24 47035 2555.76600576 39117 39141 19361863.68
70 11 2 70 47442 5155.76276582 39106 39176 39058808.832
70 12 2 98 47028 9001.05987686 37961 38059 68189847.552
70 7 3 2 46825 438.2999808 31521 31523 3320454.4
70 8 3 4 46786 787.334270976 32752 32756 5964653.568
70 9 3 10 46864 1399.92740659 36862 36872 10605510.656
70 10 3 38 47162 2817.65860147 38577 38615 21345898.496
70 11 3 50 46850 5598.0367872 38728 38778 42409369.6
70 12 3 92 46734 9753.35738573 38093 38185 73889071.104
70 7 4 2 46919 483.57348864 34070 34072 3663435.52
70 8 4 6 47155 870.03012096 31512 31518 6591137.28
70 9 4 28 47283 1540.2667991 37669 37697 11668687.872
70 10 4 30 47094 3068.22006374 38888 38918 23244091.392
70 11 4 66 47088 6135.65831578 39745 39811 46482259.968
70 12 4 70 47133 10652.1002312 37768 37838 80697729.024
70 7 1 6 46896 350.220828672 31546 31552 2653188.096
70 8 1 4 47208 641.291599872 32767 32771 4858269.696
70 9 1 8 47478 1161.56864102 37344 37352 8799762.432
70 10 1 28 47636 2330.86835098 38723 38751 17658093.568
70 11 1 78 46765 4576.49922048 38855 38933 34670448.64
70 12 1 122 47311 8236.67402342 38055 38177 62399045.632
70 7 2 6 46947 395.021822976 31795 31801 2992589.568
70 8 2 8 46839 712.2525696 32380 32388 5395852.8
70 9 2 8 47019 1277.44830259 37631 37639 9677638.656
70 10 2 12 47084 2558.42854502 38729 38741 19382034.432
70 11 2 58 46697 5074.79983718 38679 38737 38445453.312
70 12 2 102 46917 8979.8147113 37945 38047 68028899.328
70 7 3 2 47089 440.771122176 32898 32900 3339175.168
70 8 3 6 47004 791.002865664 31179 31185 5992445.952
70 9 3 20 47093 1406.7681239 37008 37028 10657334.272
70 10 3 26 47128 2815.62729677 38998 39024 21330509.824
70 11 3 70 47203 5640.21623194 39131 39201 42728910.848
70 12 3 126 46772 9761.28796262 37491 37617 73949151.232
70 7 4 2 46892 483.29521152 32647 32649 3661327.36
70 8 4 16 46935 865.97102592 32042 32058 6560386.56
70 9 4 22 47138 1535.54335334 36917 36939 11632904.192
70 10 4 28 47407 3088.61231923 37835 37863 23398578.176
70 11 4 64 47014 6126.01597133 39721 39785 46409211.904
70 12 4 110 46786 10573.6779203 37096 37206 80103620.608
70 7 1 10 47157 352.169985024 32779 32789 2667954.432
70 8 1 2 47069 639.403370496 30880 30882 4843964.928
70 9 1 22 47154 1153.64184883 37780 37802 8739710.976
70 10 1 26 47005 2299.99300608 39505 39531 17424189.44
70 11 1 84 47150 4614.1759488 38037 38121 34955878.4
70 12 1 72 47315 8237.37040896 37369 37441 62404321.28
70 7 2 6 47019 395.627645952 32743 32749 2997179.136
70 8 2 2 46891 713.0433024 31756 31758 5401843.2
70 9 2 22 47430 1288.61466624 37297 37319 9762232.32
70 10 2 24 47152 2562.12349747 38011 38035 19410026.496
70 11 2 76 47092 5117.72649062 39513 39589 38770655.232
70 12 2 74 47272 9047.76096154 38348 38422 68543643.648
70 7 3 6 46990 439.84444416 32680 32686 3332154.88
70 8 3 0 47105 792.70253568 33165 33165 6005322.24
70 9 3 8 46787 1397.62725274 37111 37119 10588085.248
70 10 3 32 46582 2783.00693299 37693 37725 21083385.856
70 11 3 46 46536 5560.51739443 38117 38163 42125131.776
70 12 3 122 46658 9737.49623194 37067 37189 73768910.848
70 7 4 6 46770 482.0378112 32059 32065 3651801.6
70 8 4 4 46839 864.199784448 30246 30250 6546968.064
70 9 4 24 47094 1534.11003187 38092 38116 11622045.696
70 10 4 28 47106 3069.00187546 38120 38148 23250014.208
70 11 4 72 46865 6106.60098048 38581 38653 46262128.64
70 12 4 145 47014 10625.2061245 37694 37839 80493985.792
70 7 1 2 46967 350.751058944 33211 33213 2657204.992
70 8 1 10 47200 641.1829248 30963 30973 4857446.4
70 9 1 10 46725 1143.1461888 36884 36894 8660198.4
70 10 1 34 46845 2292.16407552 38982 39016 17364879.36
70 11 1 48 47040 4603.41116928 38398 38446 34874327.04
70 12 1 84 47325 8239.1113728 36894 36978 62417510.4
70 7 2 4 46739 393.271667712 32100 32104 2979330.816
70 8 2 2 47123 716.5711872 33432 33434 5428569.6
70 9 2 14 46805 1271.63418624 37649 37663 9633592.32
70 10 2 46 47218 2565.70977485 38789 38835 19437195.264
70 11 2 66 47143 5123.2689193 39233 39299 38812643.328
70 12 2 108 46840 8965.07707392 36743 36851 67917250.56
70 7 3 6 47217 441.969251328 32927 32933 3348251.904
70 8 3 6 47338 796.623556608 32109 32115 6035026.944
70 9 3 22 46824 1398.73252147 37657 37679 10596458.496
70 10 3 18 46748 2792.92447949 38586 38604 21158518.784
70 11 3 96 47084 5625.99709901 40246 40342 42621190.144
70 12 3 98 46859 9779.44480973 37482 37580 74086703.104
70 7 4 6 47153 485.98522368 33494 33500 3681706.24
70 8 4 6 46793 863.351064576 31621 31627 6540538.368
70 9 4 20 46748 1522.83891302 37401 37421 11536658.432
70 10 4 36 47073 3066.85189325 38343 38379 23233726.464
70 11 4 76 47149 6143.60673485 39503 39579 46542475.264
70 12 4 102 46835 10584.7519642 37347 37449 80187514.88
70 7 1 2 47022 351.161800704 32107 32109 2660316.672
70 8 1 10 47307 642.636453888 32867 32877 4868457.984
70 9 1 14 46929 1148.13713203 37233 37247 8698008.576
70 10 1 40 47136 2306.40294298 39511 39551 17472749.568
70 11 1 52 47268 4625.72362138 39521 39573 35043360.768
70 12 1 130 46971 8177.48125286 37179 37309 61950615.552
70 7 2 6 46948 395.030237184 33066 33072 2992653.312
70 8 2 6 47110 716.373504 33435 33441 5427072.0
70 9 2 16 46991 1276.68757709 37008 37024 9671875.584
70 10 2 32 47143 2561.63445965 37881 37913 19406321.664
70 11 2 58 46724 5077.73406413 38465 38523 38467682.304
70 12 2 130 47159 9026.13300019 38355 38485 68379795.456
70 7 3 2 46991 439.853804544 32180 32182 3332225.792
70 8 3 2 46911 789.437822976 31031 31033 5980589.568
70 9 3 10 47171 1409.09814989 37007 37017 10674985.984
70 10 3 30 47288 2825.18637773 38497 38527 21402927.104
70 11 3 74 47021 5618.46932275 39432 39506 42564161.536
70 12 3 98 47117 9833.28925286 38014 38112 74494615.552
70 7 4 0 46729 481.61524224 33801 33801 3648600.32
70 8 4 4 46780 863.11120896 32175 32179 6538721.28
70 9 4 14 47171 1536.61834445 37907 37921 11641048.064
70 10 4 30 46872 3053.75654707 38323 38353 23134519.296
70 11 4 68 47218 6152.59756954 39006 39074 46610587.648
70 12 4 94 46736 10562.3778755 37205 37299 80018014.208
70 7 1 2 47102 351.759243264 32695 32697 2664842.752
70 8 1 0 46924 637.433634816 31510 31510 4829042.688
70 9 1 10 47148 1153.49505638 38663 38673 8738598.912
70 10 1 28 47462 2322.35438899 38549 38577 17593593.856
70 11 1 48 46888 4588.53620122 38364 38412 34761637.888
70 12 1 124 46685 8127.68968704 37955 38079 61573406.72
70 7 2 8 47157 396.788806656 32443 32451 3005975.808
70 8 2 8 47292 719.1410688 31843 31851 5448038.4
70 9 2 18 46965 1275.98118912 37872 37890 9666524.16
70 10 2 34 46749 2540.22547046 37022 37056 19244132.352
70 11 2 60 46836 5089.90567219 38883 38943 38559891.456
70 12 2 54 47048 9004.88783462 37366 37420 68218847.232
70 7 3 2 47014 440.069093376 32604 32606 3333856.768
70 8 3 10 47358 796.960124928 32908 32918 6037576.704
70 9 3 14 47197 1409.87482522 37365 37379 10680869.888
70 10 3 26 47084 2812.9985495 39352 39378 21310595.072
70 11 3 42 46921 5606.52047155 38195 38237 42473639.936
70 12 3 88 47029 9814.92370637 36802 36890 74355482.624
70 7 4 2 46827 482.62528512 32054 32056 3656252.16
70 8 4 10 47017 867.483961344 31644 31654 6571848.192
70 9 4 26 47349 1542.41678131 37760 37786 11684975.616
70 10 4 30 46452 3026.39313715 37724 37754 22927220.736
70 11 4 90 46740 6090.31323648 38156 38246 46138736.64
70 12 4 168 46902 10599.8940242 37547 37715 80302227.456
70 7 1 0 46969 350.765995008 33411 33411 2657318.144
70 8 1 4 47076 639.498461184 30896 30900 4844685.312
70 9 1 14 47254 1156.08838963 37489 37503 8758245.376
70 10 1 36 47172 2308.16445235 38073 38109 17486094.336
70 11 1 48 47196 4618.67758387 39356 39404 34989981.696
70 12 1 72 47074 8195.41318042 37314 37386 62086463.488
70 7 2 4 47004 395.501432832 31516 31520 2996222.976
70 8 2 2 47026 715.0961664 31507 31509 5417395.2
70 9 2 14 46689 1268.48260915 37687 37701 9609716.736
70 10 2 24 46986 2553.1034665 37824 37848 19341692.928
70 11 2 84 47272 5137.28800358 39348 39432 38918848.512
70 12 2 78 46651 8928.90287309 37670 37748 67643203.584
70 7 3 4 47161 441.445069824 32954 32958 3344280.832
70 8 3 8 46952 790.127788032 32231 32239 5985816.576
70 9 3 12 47199 1409.93456947 37791 37803 10681322.496
70 10 3 30 46779 2794.77655142 38295 38325 21172549.632
70 11 3 78 47060 5623.12937472 40075 40153 42599464.96
70 12 3 90 47210 9852.69829632 36937 37027 74641653.76
70 7 4 10 47189 486.35625984 31503 31513 3684517.12
70 8 4 10 46625 860.251392 31954 31964 6517056.0
70 9 4 20 47065 1533.16534272 38614 38634 11614888.96
70 10 4 40 46891 3054.99441562 37250 37290 23143897.088
70 11 4 98 47427 6179.8306775 39418 39516 46816899.072
70 12 4 108 46560 10522.6017178 36881 36989 79716679.68
70 7 1 2 47328 353.447018496 32455 32457 2677628.928
70 8 1 6 46991 638.343788544 31614 31620 4835937.792
70 9 1 10 46984 1149.48272947 37154 37164 8708202.496
70 10 1 26 47262 2312.56822579 37623 37649 17519456.256
70 11 1 48 47213 4620.34123162 39334 39382 35002585.088
70 12 1 64 46813 8149.97402419 37121 37185 61742227.456
70 7 2 8 46829 394.028946432 32509 32517 2985067.776
70 8 2 10 46686 709.9259904 32274 32284 5378227.2
70 9 2 18 47341 1286.19664589 37941 37959 9743913.984
70 10 2 28 47118 2560.27602125 38427 38455 19396030.464
70 11 2 56 47310 5141.41765632 38979 39035 38950133.76
70 12 2 144 46797 8956.84696474 37519 37663 67854901.248
70 7 3 6 47132 441.173618688 33853 33859 3342224.384
70 8 3 6 46773 787.115501568 33342 33348 5962996.224
70 9 3 20 47127 1407.78377626 37482 37502 10665028.608
70 10 3 36 46869 2800.15353446 38259 38295 21213284.352
70 11 3 82 47068 5624.08528282 39336 39418 42606706.688
70 12 3 90 47122 9834.33274982 38000 38090 74502520.832
70 7 4 10 47063 485.05763328 32429 32439 3674679.04
70 8 4 12 47033 867.779168256 31869 31881 6574084.608
70 9 4 16 47402 1544.14328218 37978 37994 11698055.168
70 10 4 28 47077 3067.11249715 37934 37962 23235700.736
70 11 4 80 46874 6107.77369805 39372 39452 46271012.864
70 12 4 66 47097 10643.9641989 38080 38146 80636092.416
70 7 1 6 46875 350.064 33684 33690 2652000.0
70 8 1 6 46800 635.7491712 31647 31653 4816281.6
70 9 1 8 47170 1154.03329536 37324 37332 8742676.48
70 10 1 26 46989 2299.21011302 37545 37571 17418258.432
70 11 1 58 47309 4629.73594829 38876 38934 35073757.184
70 12 1 122 46789 8145.79571098 37914 38036 61710573.568
70 7 2 0 47140 396.64576512 32220 32220 3004892.16
70 8 2 4 47002 714.7312128 32357 32361 5414630.4
70 9 2 18 47042 1278.07318426 37738 37756 9682372.608
70 10 2 28 47056 2556.90709402 38151 38179 19370508.288
70 11 2 90 46787 5084.58059366 39258 39348 38519549.952
70 12 2 128 46743 8946.51147878 37153 37281 67776602.112
70 7 3 6 47121 441.070654464 33167 33173 3341444.352
70 8 3 2 47095 792.53425152 30845 30847 6004047.36
70 9 3 20 47077 1406.29016986 37485 37505 10653713.408
70 10 3 38 46727 2791.66985011 38197 38235 21149014.016
70 11 3 66 46911 5605.32558643 39460 39526 42464587.776
70 12 3 120 47219 9854.57659085 37412 37532 74655883.264
70 7 4 0 46976 484.16096256 32768 32768 3667886.08
70 8 4 6 47190 870.67588608 31627 31633 6596029.44
70 9 4 16 46847 1526.06388634 36600 36616 11561090.048
70 10 4 42 47223 3076.62453965 38480 38522 23307761.664
70 11 4 87 46976 6121.06449715 39072 39159 46371700.736
70 12 4 128 47095 10643.5121971 37635 37763 80632668.16
70 7 1 0 47160 352.19238912 31874 31874 2668124.16
70 8 1 2 47012 638.629060608 32233 32235 4838098.944
70 9 1 18 46685 1142.16757248 37419 37437 8652784.64
70 10 1 44 46551 2277.77841562 38216 38260 17255897.088
70 11 1 68 46828 4582.6645033 39091 39159 34717155.328
70 12 1 104 47539 8276.36799898 39017 39121 62699757.568
70 7 2 0 46298 389.561001984 31433 31433 2951219.712
70 8 2 2 47013 714.8984832 32593 32595 5415897.6
70 9 2 16 46950 1275.5736576 37851 37867 9663436.8
70 10 2 38 47054 2556.79841894 38667 38705 19369684.992
70 11 2 66 47149 5123.92096973 39096 39162 38817583.104
70 12 2 110 47048 9004.88783462 37905 38015 68218847.232
70 7 3 2 47614 445.685323776 32196 32198 3376403.968
70 8 3 10 47261 795.327768576 32646 32656 6025210.368
70 9 3 24 47056 1405.66285517 38144 38168 10648961.024
70 10 3 46 46970 2806.18770432 37868 37914 21258997.76
70 11 3 94 47252 5646.07116902 38940 39034 42773266.432
70 12 3 118 46828 9772.97512858 37269 37387 74037690.368
70 7 4 4 47187 486.33564672 32765 32769 3684360.96
70 8 4 4 47061 868.295780352 32462 32466 6577998.336
70 9 4 24 47194 1537.36758067 38063 38087 11646724.096
70 10 4 42 47114 3069.52308326 38002 38044 23253962.752
70 11 4 70 46673 6081.5830057 39319 39389 46072598.528
70 12 4 114 46808 10578.64994 37290 37404 80141287.424
